nom_iris,code_iris,DISP_MED21,dist_to_green
Charonne 8,751208008,16960,139.36
Les Halles 1,751010201,31290,315.08
Mail 2,751020702,35680,595.02
Arts et Métiers 3,751030903,34890,254.25
Arts et Métiers 5,751030905,33520,60.58
Les Archives 3,751031103,38890,210.3
Sainte-Avoye 4,751031204,31030,376.24
Saint-Merri 2,751041302,33940,393.69
Arsenal 1,751041501,30860,334.4
Arsenal 2,751041502,36430,213.83
Saint-Victor 3,751051703,34440,201.9
Val de Grâce 3,751051903,38350,209.69
Monnaie 3,751062103,36680,497.38
Saint-Thomas d'Aquin 5,751072505,44830,640.67
Invalides 4,751072604,50930,222.04
Gros Caillou 3,751072803,34860,428.25
Faubourg du Roule 1,751083001,48330,896.17
Saint-Georges 10,751093310,42680,420.18
Saint-Vincent de Paul 5,751103705,38770,111.78
Porte Saint-Martin 10,751103910,33770,109.8
Hôpital Saint-Louis 6,751104006,26360,354.4
Hôpital Saint-Louis 9,751104009,30680,201.6
Folie Méricourt 2,751114102,24210,282.22
Saint-Ambroise 8,751114208,38400,258.71
Roquette 9,751114309,28940,185.19
Sainte-Marguerite 5,751114405,28830,142.94
Bel-Air 9,751124509,30960,201.9
Bel-Air 11,751124511,19130,40.66
Bel-Air 12,751124512,30480,347.56
Picpus 12,751124612,32550,177.75
Picpus 19,751124619,28160,21.89
Picpus 21,751124621,28610,572.06
Picpus 23,751124623,37510,545.28
Bercy 2,751124702,27930,370.77
Quinze-Vingts 2,751124802,25490,150.37
Quinze-Vingts 5,751124805,33450,57.99
Quinze-Vingts 8,751124808,37950,94.02
Salpêtrière 7,751134907,31690,293.79
Gare 2,751135002,17010,538.77
Gare 5,751135005,23220,139.37
Gare 7,751135007,23080,277.83
Gare 13,751135013,17220,371.1
Gare 15,751135015,24060,0.0
Gare 28,751135028,24810,2.31
Montparnasse 5,751145305,38590,0.0
Montparnasse 6,751145306,37680,23.91
Parc de Montsouris 4,751145404,29320,395.66
Petit Montrouge 7,751145507,36620,807.35
Petit Montrouge 8,751145508,34420,748.51
Petit Montrouge 14,751145514,36110,80.43
Plaisance 9,751145609,19290,130.37
Plaisance 21,751145621,27260,348.67
Saint-Lambert 13,751155713,41000,249.35
Saint-Lambert 15,751155715,31890,325.86
Saint-Lambert 23,751155723,37180,358.82
Saint-Lambert 28,751155728,34930,239.14
Saint-Lambert 31,751155731,28840,88.62
Grenelle 13,751155913,47450,177.66
Grenelle 17,751155917,37490,209.25
Grenelle 18,751155918,38300,306.57
Javel 7,751156007,27160,0.0
Javel 12,751156012,35720,64.03
Auteuil 8,751166108,24530,411.44
Auteuil 14,751166114,29680,638.12
Muette 2,751166202,43710,313.6
Muette 4,751166204,50310,419.94
Porte Dauphine 6,751166306,46350,203.99
Porte Dauphine 7,751166307,47110,465.19
Ternes 8,751176508,50690,132.38
Plaine Monceau 11,751176611,48250,67.19
Batignolles 7,751176707,40480,731.24
Batignolles 13,751176713,39790,252.06
Épinettes 1,751176801,32330,126.02
Grandes Carrières 4,751186904,34870,0.0
Grandes Carrières 6,751186906,30420,140.8
Grandes Carrières 10,751186910,39090,283.98
Grandes Carrières 13,751186913,32980,161.69
Clignancourt 2,751187002,31490,132.11
Clignancourt 6,751187006,30260,150.3
Clignancourt 7,751187007,25760,83.42
Clignancourt 11,751187011,31830,294.02
Chapelle 1,751187201,17800,181.28
Villette 2,751197302,23920,242.13
Villette 9,751197309,22210,379.15
Pont de Flandre 2,751197402,25520,685.48
Amérique 2,751197502,24790,216.88
Combat 3,751197603,31220,224.16
Combat 5,751197605,21440,354.54
Belleville 7,751207707,23880,243.73
Belleville 9,751207709,16730,192.73
Belleville 10,751207710,20840,9.23
Belleville 13,751207713,19510,430.42
Père Lachaise 2,751207902,29310,49.47
Père Lachaise 8,751207908,19780,26.88
Charonne 5,751208005,28930,151.22
Charonne 17,751208017,25180,210.47
Faubourg du Roule 5,751083005,31950,916.29
Europe 9,751083209,45120,437.67
Chaussée d'Antin 7,751093407,38590,465.69
Place Vendôme 1,751010401,43970,140.25
Bonne Nouvelle 1,751020801,30390,160.13
Bonne Nouvelle 3,751020803,32870,127.64
Sainte-Avoye 3,751031203,30830,272.11
Saint-Gervais 3,751041403,32610,306.06
Jardin des Plantes 2,751051802,35070,45.28
Jardin des Plantes 6,751051806,31620,127.95
Val de Grâce 2,751051902,38910,696.79
Val de Grâce 5,751051905,48960,438.08
Val de Grâce 6,751051906,39530,648.29
Sorbonne 1,751052001,32050,376.34
Sorbonne 4,751052004,35820,173.35
Monnaie 1,751062101,39150,343.82
Notre-Dame des Champs 1,751062301,47740,277.82
Notre-Dame des Champs 6,751062306,43230,646.32
Gros Caillou 5,751072805,37140,300.92
Europe 5,751083205,51570,691.49
Saint-Georges 3,751093303,38640,293.73
Faubourg Montmartre 2,751093502,35910,614.96
Saint-Vincent de Paul 6,751103706,31790,541.53
Saint-Vincent de Paul 7,751103707,28360,576.56
Saint-Vincent de Paul 9,751103709,26310,426.63
Porte Saint-Denis 3,751103803,33570,211.59
Porte Saint-Denis 4,751103804,32850,502.48
Porte Saint-Martin 8,751103908,29480,263.93
Porte Saint-Martin 9,751103909,29460,233.62
Folie Méricourt 5,751114105,35360,144.03
Folie Méricourt 14,751114114,30040,246.2
Folie Méricourt 15,751114115,32260,330.77
Roquette 1,751114301,23790,269.36
Roquette 3,751114303,21370,228.35
Roquette 4,751114304,29460,217.88
Roquette 13,751114313,36050,27.0
Roquette 18,751114318,31160,295.69
Sainte-Marguerite 2,751114402,34800,491.01
Bel-Air 2,751124502,33480,262.95
Picpus 3,751124603,33630,23.61
Picpus 11,751124611,33860,212.19
Picpus 14,751124614,35140,34.11
Bercy 5,751124705,25330,283.05
Quinze-Vingts 3,751124803,39850,268.07
Quinze-Vingts 6,751124806,35310,57.13
Quinze-Vingts 10,751124810,33830,187.19
Gare 8,751135008,21180,104.15
Croulebarbe 3,751135203,36960,0.0
Montparnasse 2,751145302,41540,519.23
Montparnasse 4,751145304,31900,104.33
Parc de Montsouris 6,751145406,40170,636.15
Petit Montrouge 2,751145502,25650,493.08
Petit Montrouge 10,751145510,36210,732.17
Petit Montrouge 15,751145515,33770,273.89
Plaisance 4,751145604,19390,0.0
Plaisance 17,751145617,19510,21.79
Plaisance 20,751145620,25430,213.38
Saint-Lambert 2,751155702,24190,109.72
Saint-Lambert 21,751155721,37740,15.86
Saint-Lambert 25,751155725,39420,313.75
Necker 2,751155802,21520,88.76
Grenelle 11,751155911,38620,371.92
Grenelle 12,751155912,29550,354.87
Javel 14,751156014,24580,189.58
Javel 15,751156015,28420,369.31
Auteuil 5,751166105,35330,105.29
Auteuil 6,751166106,37900,205.28
Auteuil 17,751166117,43240,631.29
Auteuil 18,751166118,46240,785.34
Auteuil 27,751166127,36610,219.22
Muette 5,751166205,51830,170.36
Muette 13,751166213,50280,571.08
Chaillot 5,751166405,43890,629.7
Chaillot 9,751166409,40540,198.93
Ternes 6,751176506,38900,126.83
Ternes 10,751176510,41850,734.57
Ternes 14,751176514,42990,33.85
Plaine Monceau 7,751176607,51940,341.55
Plaine Monceau 13,751176613,43050,100.59
Batignolles 14,751176714,21650,154.57
Batignolles 16,751176716,33550,137.49
Épinettes 4,751176804,33420,277.69
Épinettes 16,751176816,16110,199.4
Grandes Carrières 14,751186914,32360,0.0
Grandes Carrières 15,751186915,28830,267.93
Grandes Carrières 18,751186918,31560,9.16
Grandes Carrières 22,751186922,32650,616.63
Clignancourt 15,751187015,30640,158.06
Clignancourt 19,751187019,24590,145.89
Clignancourt 26,751187026,23240,540.67
Goutte d'Or 2,751187102,16490,221.97
Villette 11,751197311,25190,225.93
Villette 13,751197313,25440,289.47
Combat 15,751197615,29800,259.08
Belleville 2,751207702,28950,355.31
Belleville 4,751207704,24330,36.83
Belleville 8,751207708,18760,174.51
Saint-Fargeau 7,751207807,31220,551.36
Saint-Fargeau 10,751207810,19120,181.33
Père Lachaise 5,751207905,29470,0.0
Charonne 2,751208002,29090,366.83
Charonne 6,751208006,32570,219.4
Charonne 26,751208026,31070,168.6
Vivienne 1,751020601,37560,123.49
Arts et Métiers 2,751030902,34230,380.77
Sainte-Avoye 1,751031201,33340,164.21
Arsenal 3,751041503,40530,357.22
Jardin des Plantes 8,751051808,38000,73.87
Notre-Dame des Champs 2,751062302,48510,419.74
Saint-Thomas d'Aquin 4,751072504,43550,564.29
Invalides 2,751072602,49800,180.25
Europe 4,751083204,52250,454.61
Saint-Georges 4,751093304,46130,466.45
Faubourg Montmartre 1,751093501,31770,645.88
Rochechouart 2,751093602,35100,277.6
Rochechouart 7,751093607,34590,399.76
Rochechouart 8,751093608,37460,147.47
Porte Saint-Martin 5,751103905,31100,559.58
Saint-Ambroise 1,751114201,25410,261.92
Roquette 5,751114305,27080,386.23
Roquette 14,751114314,32790,175.99
Sainte-Marguerite 3,751114403,31500,380.51
Bel-Air 5,751124505,33080,11.19
Bercy 4,751124704,29970,81.85
Quinze-Vingts 4,751124804,37440,182.55
Quinze-Vingts 7,751124807,32380,229.5
Gare 3,751135003,19730,206.85
Gare 4,751135004,16750,194.72
Gare 6,751135006,25430,330.53
Gare 12,751135012,24350,585.14
Gare 25,751135025,25870,180.7
Gare 31,751135031,17520,191.3
Croulebarbe 7,751135207,36880,378.04
Parc de Montsouris 3,751145403,30240,64.66
Petit Montrouge 13,751145513,35120,242.47
Plaisance 6,751145606,28850,280.2
Plaisance 11,751145611,20670,33.42
Plaisance 22,751145622,34130,312.24
Saint-Lambert 1,751155701,18730,74.42
Saint-Lambert 14,751155714,34180,423.15
Saint-Lambert 16,751155716,31130,249.53
Saint-Lambert 18,751155718,31940,295.63
Saint-Lambert 20,751155720,32510,104.23
Saint-Lambert 29,751155729,38650,123.71
Necker 4,751155804,40570,391.97
Necker 6,751155806,35270,0.0
Necker 11,751155811,38770,235.83
Grenelle 3,751155903,33170,62.48
Grenelle 7,751155907,31310,55.4
Grenelle 9,751155909,34280,375.1
Auteuil 7,751166107,39380,114.62
Auteuil 11,751166111,45270,605.47
Auteuil 28,751166128,41900,440.21
Auteuil 29,751166129,34750,494.49
Auteuil 30,751166130,33350,248.63
Muette 11,751166211,48120,464.26
Porte Dauphine 1,751166301,40500,260.8
Porte Dauphine 8,751166308,42650,639.01
Porte Dauphine 10,751166310,49320,52.87
Chaillot 2,751166402,38450,97.2
Plaine Monceau 5,751176605,51870,480.31
Plaine Monceau 15,751176615,18250,137.19
Plaine Monceau 16,751176616,17700,2.53
Batignolles 3,751176703,34510,177.71
Batignolles 9,751176709,36050,489.73
Batignolles 10,751176710,38310,375.71
Épinettes 3,751176803,33910,243.42
Épinettes 8,751176808,29830,168.49
Épinettes 14,751176814,20250,62.86
Grandes Carrières 19,751186919,30220,272.48
Grandes Carrières 21,751186921,25480,422.2
Grandes Carrières 24,751186924,23280,380.41
Clignancourt 18,751187018,21490,193.89
Clignancourt 21,751187021,29330,0.0
Chapelle 9,751187209,14940,95.47
Villette 12,751197312,19380,493.87
Villette 16,751197316,23360,379.34
Amérique 7,751197507,27030,318.99
Amérique 8,751197508,30970,152.52
Amérique 11,751197511,22630,312.99
Amérique 23,751197523,27250,160.49
Combat 12,751197612,32900,200.71
Belleville 6,751207706,25850,216.23
Père Lachaise 13,751207913,31560,194.35
Charonne 16,751208016,24810,226.96
Pont de Flandre 13,751197413,21490,265.65
Les Halles 2,751010202,38680,226.63
Les Halles 3,751010203,32760,25.46
Enfants Rouges 3,751031003,35740,177.46
Les Archives 1,751031101,37610,51.97
Saint-Gervais 4,751041404,31790,282.95
Arsenal 4,751041504,37040,20.17
Saint-Victor 2,751051702,37090,41.19
Saint-Victor 5,751051705,36710,138.03
Jardin des Plantes 5,751051805,30380,152.41
Jardin des Plantes 7,751051807,32440,96.8
Val de Grâce 7,751051907,38570,453.64
Sorbonne 2,751052002,44780,365.38
Notre-Dame des Champs 9,751062309,35410,268.14
Notre-Dame des Champs 10,751062310,41930,286.58
Saint-Thomas d'Aquin 2,751072502,52800,119.86
Saint-Thomas d'Aquin 3,751072503,44520,95.05
Saint-Thomas d'Aquin 6,751072506,42690,398.97
Gros Caillou 6,751072806,65140,47.73
Gros Caillou 7,751072807,58600,49.02
Europe 2,751083202,49720,519.56
Saint-Georges 9,751093309,32910,280.52
Saint-Vincent de Paul 3,751103703,29540,429.16
Hôpital Saint-Louis 3,751104003,27390,446.59
Folie Méricourt 1,751114101,25760,220.3
Folie Méricourt 3,751114103,30390,557.98
Saint-Ambroise 14,751114214,28000,20.63
