nom_iris,code_iris,DISP_MED21,dist_to_green
Combat 10,751197610,17540,253.08
Saint-Fargeau 2,751207802,27240,74.77
Père Lachaise 11,751207911,23750,180.08
Père Lachaise 16,751207916,23910,25.52
Charonne 1,751208001,17780,34.04
Charonne 10,751208010,18830,305.35
Charonne 15,751208015,30600,185.43
Charonne 21,751208021,16980,135.65
Place Vendôme 2,751010402,38990,462.81
Vivienne 2,751020602,37990,450.63
Faubourg du Roule 4,751083004,38930,222.76
Madeleine 5,751083105,45700,517.54
Plaisance 25,751145625,30710,142.72
Mail 3,751020703,34720,508.8
Bonne Nouvelle 4,751020804,30890,291.02
Saint-Victor 1,751051701,34600,68.35
Jardin des Plantes 1,751051801,37890,378.82
Odéon 3,751062203,37190,244.85
Notre-Dame des Champs 5,751062305,44470,174.98
Notre-Dame des Champs 8,751062308,39620,513.32
Saint-Germain des Prés 2,751062402,39360,186.27
Invalides 1,751072601,47760,495.42
École Militaire 1,751072701,41560,396.42
École Militaire 2,751072702,44390,213.19
École Militaire 3,751072703,56660,399.57
Gros Caillou 8,751072808,49700,323.7
Europe 1,751083201,43680,98.0
Europe 6,751083206,43360,823.7
Saint-Georges 2,751093302,44600,90.43
Rochechouart 3,751093603,31920,493.31
Rochechouart 5,751093605,37080,352.28
Saint-Vincent de Paul 4,751103704,37740,146.95
Hôpital Saint-Louis 1,751104001,21690,225.03
Hôpital Saint-Louis 11,751104011,24880,304.05
Folie Méricourt 8,751114108,31370,312.34
Saint-Ambroise 5,751114205,35100,104.35
Saint-Ambroise 12,751114212,37280,309.29
Roquette 6,751114306,27540,474.25
Roquette 21,751114321,29230,150.89
Sainte-Marguerite 4,751114404,34370,229.92
Bel-Air 10,751124510,20470,133.45
Picpus 4,751124604,23370,444.94
Gare 1,751135001,18890,26.17
Gare 10,751135010,27620,342.68
Gare 24,751135024,30370,111.02
Gare 30,751135030,22560,380.23
Maison Blanche 10,751135110,25990,206.79
Maison Blanche 11,751135111,22910,169.76
Maison Blanche 21,751135121,32750,0.0
Montparnasse 3,751145303,35560,68.56
Montparnasse 7,751145307,35640,150.78
Montparnasse 8,751145308,32640,160.03
Plaisance 13,751145613,34670,52.88
Plaisance 24,751145624,35810,156.87
Saint-Lambert 11,751155711,34860,0.0
Necker 7,751155807,39480,426.15
Necker 14,751155814,39850,377.4
Necker 16,751155816,40920,250.22
Grenelle 16,751155916,33850,28.81
Javel 8,751156008,26280,0.66
Javel 19,751156019,37380,0.0
Auteuil 23,751166123,52090,452.4
Auteuil 25,751166125,47910,147.91
Muette 6,751166206,49750,19.74
Muette 9,751166209,55160,213.11
Muette 15,751166215,42870,553.2
Muette 18,751166218,44290,495.26
Muette 19,751166219,46480,127.98
Chaillot 7,751166407,43010,92.48
Plaine Monceau 4,751176604,46450,196.33
Batignolles 1,751176701,35100,70.81
Batignolles 11,751176711,35580,179.96
Épinettes 12,751176812,24040,110.36
Grandes Carrières 3,751186903,32250,44.34
Grandes Carrières 9,751186909,32050,98.5
Grandes Carrières 11,751186911,44410,27.41
Grandes Carrières 26,751186926,16170,117.98
Clignancourt 13,751187013,33970,272.27
Goutte d'Or 1,751187101,23120,197.13
Goutte d'Or 3,751187103,16860,160.83
Goutte d'Or 6,751187106,19050,186.14
Goutte d'Or 10,751187110,18980,458.04
Chapelle 3,751187203,25090,180.44
Pont de Flandre 4,751197404,22970,470.62
Pont de Flandre 9,751197409,16580,192.92
Pont de Flandre 10,751197410,16580,51.34
Amérique 24,751197524,30780,354.03
Combat 4,751197604,31490,187.01
Saint-Fargeau 6,751207806,26420,323.01
Saint-Fargeau 12,751207812,30210,329.24
Saint-Fargeau 13,751207813,19510,361.53
Saint-Fargeau 14,751207814,21730,0.0
Saint-Fargeau 16,751207816,28780,159.2
Père Lachaise 10,751207910,18110,79.77
Père Lachaise 12,751207912,27920,264.87
Charonne 7,751208007,21350,35.56
Charonne 19,751208019,21440,221.78
Charonne 22,751208022,21400,1.32
Charonne 25,751208025,24780,300.78
Madeleine 6,751083106,45550,304.7
Faubourg Montmartre 4,751093504,37910,849.88
Mail 1,751020701,34950,370.29
Sainte-Avoye 2,751031202,33540,12.5
Saint-Merri 1,751041301,35360,303.9
Saint-Victor 4,751051704,38310,224.66
Val de Grâce 4,751051904,46310,275.25
Odéon 2,751062202,43450,195.3
Notre-Dame des Champs 4,751062304,49500,440.97
Notre-Dame des Champs 7,751062307,45110,622.07
Notre-Dame des Champs 11,751062311,48580,276.27
Gros Caillou 9,751072809,46540,237.84
Rochechouart 10,751093610,34930,418.28
Saint-Vincent de Paul 2,751103702,27830,555.74
Porte Saint-Denis 2,751103802,23430,496.24
Porte Saint-Martin 2,751103902,34860,169.55
Porte Saint-Martin 6,751103906,31300,474.19
Hôpital Saint-Louis 7,751104007,25190,263.47
Folie Méricourt 4,751114104,34350,197.89
Folie Méricourt 12,751114112,15140,82.24
Sainte-Marguerite 8,751114408,34200,213.09
Bel-Air 13,751124513,34080,0.0
Picpus 2,751124602,30830,244.78
Picpus 5,751124605,28230,404.1
Picpus 6,751124606,25590,285.15
Picpus 9,751124609,19660,523.34
Picpus 13,751124613,27770,183.4
Picpus 16,751124616,34000,402.51
Picpus 17,751124617,33250,386.41
Picpus 18,751124618,34420,397.84
Quinze-Vingts 1,751124801,28240,149.4
Gare 20,751135020,27370,0.0
Maison Blanche 7,751135107,24420,5.79
Maison Blanche 8,751135108,17370,162.51
Maison Blanche 15,751135115,34600,310.48
Maison Blanche 24,751135124,35070,317.41
Maison Blanche 25,751135125,27050,226.46
Croulebarbe 5,751135205,32950,182.43
Petit Montrouge 3,751145503,19260,0.0
Plaisance 3,751145603,16770,112.02
Plaisance 12,751145612,34250,251.53
Saint-Lambert 8,751155708,30500,452.94
Saint-Lambert 24,751155724,37890,8.64
Saint-Lambert 26,751155726,28910,364.42
Necker 1,751155801,18490,72.53
Necker 3,751155803,38960,236.88
Grenelle 14,751155914,43270,150.97
Javel 4,751156004,31710,255.52
Javel 10,751156010,27720,93.5
Auteuil 10,751166110,35430,423.03
Auteuil 21,751166121,32810,117.77
Auteuil 24,751166124,40830,325.15
Muette 12,751166212,42190,853.38
Muette 14,751166214,47690,671.62
Porte Dauphine 2,751166302,40430,512.95
Porte Dauphine 4,751166304,47410,187.43
Plaine Monceau 6,751176606,56110,552.52
Plaine Monceau 9,751176609,51380,297.98
Plaine Monceau 12,751176612,49660,108.88
Batignolles 4,751176704,37420,276.44
Batignolles 6,751176706,40410,430.86
Grandes Carrières 7,751186907,31910,157.04
Grandes Carrières 20,751186920,24730,298.96
Grandes Carrières 28,751186928,15130,261.44
Clignancourt 16,751187016,29070,575.69
Goutte d'Or 4,751187104,21270,106.55
Villette 3,751197303,24490,200.17
Villette 17,751197317,19760,536.2
Pont de Flandre 3,751197403,21200,226.06
Pont de Flandre 11,751197411,26840,781.37
Combat 7,751197607,33780,250.0
Saint-Fargeau 15,751207815,25080,65.17
Père Lachaise 4,751207904,29980,99.22
Père Lachaise 15,751207915,31010,213.8
Charonne 3,751208003,24830,32.35
Charonne 9,751208009,15350,32.28
Charonne 14,751208014,25620,214.53
